"teamName","inGameName","checkedInAt"
"Momentum","AIR","Fri Jul 15 2016 23:00:11 GMT+0000 (UTC)"
"Prevale","kyletrolol0","Fri Jul 15 2016 23:19:46 GMT+0000 (UTC)"
"Prevale","SpikoPlays","Fri Jul 15 2016 23:19:46 GMT+0000 (UTC)"
"No Capes!","Dark Demise","Fri Jul 15 2016 23:19:12 GMT+0000 (UTC)"
"No Capes!","Vaiofoxx","Fri Jul 15 2016 23:19:12 GMT+0000 (UTC)"
"No Capes!","Satthew","Fri Jul 15 2016 23:19:12 GMT+0000 (UTC)"
"No Capes!","Emptiness","Fri Jul 15 2016 23:19:12 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","elyodah1","Fri Jul 15 2016 23:06:32 GMT+0000 (UTC)"
"uzzy","Impaler426","Fri Jul 15 2016 23:04:55 GMT+0000 (UTC)"
"uzzy","Stunsity","Fri Jul 15 2016 23:04:55 GMT+0000 (UTC)"
"Jzeus eSports","Jzs | Rayden","Fri Jul 15 2016 23:01:11 GMT+0000 (UTC)"
"Jzeus eSports","Jzs | Kesler","Fri Jul 15 2016 23:01:11 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Jul 15 2016 23:00:24 GMT+0000 (UTC)"
"Mystery eSports","Mystery | OatmealRL.tv","Fri Jul 15 2016 23:41:49 GMT+0000 (UTC)"
"Mystery eSports","Mystery | Complex","Fri Jul 15 2016 23:41:49 GMT+0000 (UTC)"
"Event horizon","Walitelo","Fri Jul 15 2016 23:00:32 GMT+0000 (UTC)"
"Event horizon","Rkamari","Fri Jul 15 2016 23:00:32 GMT+0000 (UTC)"
"Literally","xbLeU","Fri Jul 15 2016 23:18:53 GMT+0000 (UTC)"
"Literally","JOHN1138","Fri Jul 15 2016 23:18:53 GMT+0000 (UTC)"
"Boost > Ball","Skinner","Fri Jul 15 2016 23:23:58 GMT+0000 (UTC)"
"Boost > Ball","SMGschwind","Fri Jul 15 2016 23:23:58 GMT+0000 (UTC)"
"HYPE Gaming","getsomeual","Fri Jul 15 2016 23:00:24 GMT+0000 (UTC)"
"HYPE Gaming","Kaiijuu","Fri Jul 15 2016 23:00:24 GMT+0000 (UTC)"
"Ghostboosters","Makro","Fri Jul 15 2016 23:00:41 GMT+0000 (UTC)"
"NPJ","Eat my gun",
"NPJ","Wattswify",
"Danger Zone","Ryan","Fri Jul 15 2016 23:18:16 GMT+0000 (UTC)"
"Danger Zone","Sad Cake Guy","Fri Jul 15 2016 23:18:16 GMT+0000 (UTC)"
"Danger Zone","Morsias","Fri Jul 15 2016 23:18:16 GMT+0000 (UTC)"
"PotatOS","Brethz",
"PotatOS","Akroxx",
"Ghostboosters","Decibel","Fri Jul 15 2016 23:00:41 GMT+0000 (UTC)"
"Black Dragons","G O D A N","Fri Jul 15 2016 23:01:41 GMT+0000 (UTC)"
"Im6ued","PrimeThunder","Fri Jul 15 2016 23:57:40 GMT+0000 (UTC)"
"uzzy","MiTheBeast","Fri Jul 15 2016 23:04:55 GMT+0000 (UTC)"
"cY.Tempest | cyclonic.eu","cY.Tempest | Isaac",
"Exodus","Moses","Fri Jul 15 2016 23:24:41 GMT+0000 (UTC)"
"cY.Tempest | cyclonic.eu","cY.Tempest | Seether",
"cY.Tempest | cyclonic.eu","cY.Tempest | Mango",
"Projeto Rocketeer","DarkMirroR","Fri Jul 15 2016 23:32:23 GMT+0000 (UTC)"
"Its like GFA, But NOT GFA","skibs010","Fri Jul 15 2016 23:06:32 GMT+0000 (UTC)"
"Black Dragons","Freedom","Fri Jul 15 2016 23:01:41 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Jul 15 2016 23:01:41 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Jul 15 2016 23:01:41 GMT+0000 (UTC)"
"Make 'em Pay","KiNG","Fri Jul 15 2016 23:04:14 GMT+0000 (UTC)"
"Quasar Knights","[QK]Takashiro",
"Quasar Knights","[QK] Dirrty Harry",
"Quasar Knights","Agent207",
"Quasar Knights","[QK] |APx| BärenMWx10",
"Hardcore Boostiality","Rito_Dorito","Fri Jul 15 2016 23:02:19 GMT+0000 (UTC)"
"cY.Tempest | cyclonic.eu","cY.Tempest | Olaf Scania",
"Hardcore Boostiality","Fmds","Fri Jul 15 2016 23:02:19 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Jul 15 2016 23:02:19 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Jul 15 2016 23:02:19 GMT+0000 (UTC)"
"Make 'em Pay","C0M0D0","Fri Jul 15 2016 23:04:14 GMT+0000 (UTC)"
"Boost > Ball","Araussi","Fri Jul 15 2016 23:23:58 GMT+0000 (UTC)"
"Make 'em Pay","Jasher","Fri Jul 15 2016 23:04:14 GMT+0000 (UTC)"
"Jzeus eSports","Jzs | Connor","Fri Jul 15 2016 23:01:11 GMT+0000 (UTC)"
"Dishonored","killrnite","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"The Gassy Mexicans","Phantasmal",
"The Gassy Mexicans","Dist0rTioN",
"Momentum","Watsupmijo_24","Fri Jul 15 2016 23:00:11 GMT+0000 (UTC)"
"Momentum","Timi_f","Fri Jul 15 2016 23:00:11 GMT+0000 (UTC)"
"Dishonored","Disgruntled 1800's Industialist","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"Dishonored","tr0b","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"HYPE Gaming","Munchkinator","Fri Jul 15 2016 23:00:24 GMT+0000 (UTC)"
"Lucky Bounce","J_knaps",
"Momentum","Dappur","Fri Jul 15 2016 23:00:11 GMT+0000 (UTC)"
"Prevale","oZxffy","Fri Jul 15 2016 23:19:46 GMT+0000 (UTC)"
"Projeto Rocketeer","giroba","Fri Jul 15 2016 23:32:23 GMT+0000 (UTC)"
"Projeto Rocketeer","Alexandre_Junior","Fri Jul 15 2016 23:32:23 GMT+0000 (UTC)"
"Im6ued","Karma","Fri Jul 15 2016 23:57:40 GMT+0000 (UTC)"
"Ironhype","Loomin | Twitch.tv/Ironhype","Fri Jul 15 2016 23:02:26 GMT+0000 (UTC)"
"Ironhype","Attackerby","Fri Jul 15 2016 23:02:26 GMT+0000 (UTC)"
"Ironhype","J.RAx","Fri Jul 15 2016 23:02:26 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Aegis","Fri Jul 15 2016 23:03:47 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Heist","Fri Jul 15 2016 23:03:47 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | sumlol","Fri Jul 15 2016 23:03:47 GMT+0000 (UTC)"
"Ironhype","Keegan417","Fri Jul 15 2016 23:02:26 GMT+0000 (UTC)"
"Dishonored","Are Memes An Instrument?","Fri Jul 15 2016 23:15:59 GMT+0000 (UTC)"
"Lucky Bounce","Torment",
"Lucky Bounce","Timbathy",
"Lucky Bounce","DarkFire",
"Dzair","felixgg123","Fri Jul 15 2016 23:08:14 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Ill","Fri Jul 15 2016 23:03:47 GMT+0000 (UTC)"
"Team Wild","Outsid3_Shoot3r","Fri Jul 15 2016 23:18:26 GMT+0000 (UTC)"
"Team Last Minute","JO3_YOUN9","Fri Jul 15 2016 23:57:15 GMT+0000 (UTC)"
"Dude AF","Goldenkale","Fri Jul 15 2016 23:17:39 GMT+0000 (UTC)"
"Dude AF","Jdjd17@sbcglobal.net","Fri Jul 15 2016 23:17:39 GMT+0000 (UTC)"
"Danger Zone","Flinney McMillon","Fri Jul 15 2016 23:18:16 GMT+0000 (UTC)"
"Hardcore Boostiality","Bam Bam","Fri Jul 15 2016 23:02:19 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Bruno_Neves™","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Pedroca_","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| SrBeeerg™","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| The killer Gamer 2304","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","TwR | TK","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| KODAA","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"The Warriors of Rocket League","VyTor","Fri Jul 15 2016 23:06:59 GMT+0000 (UTC)"
"Dude AF","40fontainez@gmail.com","Fri Jul 15 2016 23:17:39 GMT+0000 (UTC)"
"Stuck in Challenger","Fafnir",
