"teamName","inGameName","checkedInAt"
"Dark Matter","DudeWithTheNose","Fri Sep 02 2016 23:04:08 GMT+0000 (UTC)"
"NoX.LD","SaladKing | NOX.LD","Fri Sep 02 2016 23:36:42 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | LilJonny11","Fri Sep 02 2016 23:06:04 GMT+0000 (UTC)"
"Goal Security","El Snootchador","Fri Sep 02 2016 23:52:27 GMT+0000 (UTC)"
"Leviticus","theKillah!","Fri Sep 02 2016 23:06:52 GMT+0000 (UTC)"
"Invictus2","RedemptionHound","Fri Sep 02 2016 23:38:01 GMT+0000 (UTC)"
"Literally","xbLeU","Fri Sep 02 2016 23:24:03 GMT+0000 (UTC)"
"Invictus","iOghma",
"Leviticus","Falcon","Fri Sep 02 2016 23:06:52 GMT+0000 (UTC)"
"ARA","Alex","Fri Sep 02 2016 23:29:13 GMT+0000 (UTC)"
"New Era","LilPlayer-V3","Fri Sep 02 2016 23:19:20 GMT+0000 (UTC)"
"To Be Determined","eirenman28",
"ARA","Austra","Fri Sep 02 2016 23:29:13 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Sep 02 2016 23:43:14 GMT+0000 (UTC)"
"GAF","Stiff","Fri Sep 02 2016 23:11:24 GMT+0000 (UTC)"
"GAF","Kevo","Fri Sep 02 2016 23:11:24 GMT+0000 (UTC)"
"Beyond Incorperation","[BIC]MA","Fri Sep 02 2016 23:01:39 GMT+0000 (UTC)"
"To Be Determined","RAWGREGHxC",
"Goal Security","Jordan of the Jungle","Fri Sep 02 2016 23:52:27 GMT+0000 (UTC)"
"Beyond Incorperation","[BIC]OomerShadow","Fri Sep 02 2016 23:01:39 GMT+0000 (UTC)"
"NoX.LD","Lancek1ng | NOX.LD","Fri Sep 02 2016 23:36:42 GMT+0000 (UTC)"
"NoX.LD","CAIOTG1 | NOX.LD","Fri Sep 02 2016 23:36:42 GMT+0000 (UTC)"
"No Capes!","Tyme",
"Vendetta","Torment","Fri Sep 02 2016 23:23:29 GMT+0000 (UTC)"
"New Era","CBKxNinja","Fri Sep 02 2016 23:19:20 GMT+0000 (UTC)"
"No Capes!","Emptiness",
"One Shot","Aj16","Fri Sep 02 2016 23:02:57 GMT+0000 (UTC)"
"Literally","LemonPuppy203","Fri Sep 02 2016 23:24:03 GMT+0000 (UTC)"
"Invictus","RedemptionHound",
"The Machos","maycon","Fri Sep 02 2016 23:30:14 GMT+0000 (UTC)"
"HYPE Gaming","GetsomeUAL","Fri Sep 02 2016 23:43:14 GMT+0000 (UTC)"
"The Machos","joaocisquim","Fri Sep 02 2016 23:30:14 GMT+0000 (UTC)"
"Invictus2","iOghma","Fri Sep 02 2016 23:38:01 GMT+0000 (UTC)"
"Hey guys","kevpert","Fri Sep 02 2016 23:19:41 GMT+0000 (UTC)"
"Hey guys","Squishy","Fri Sep 02 2016 23:19:41 GMT+0000 (UTC)"
"Vendetta","Lethamyr","Fri Sep 02 2016 23:23:29 GMT+0000 (UTC)"
"I'm not good with creativity [NAE]","neocow","Fri Sep 02 2016 23:12:41 GMT+0000 (UTC)"
"Defiants","javi2489","Fri Sep 02 2016 23:00:42 GMT+0000 (UTC)"
"Invictus2","Haku","Fri Sep 02 2016 23:38:01 GMT+0000 (UTC)"
"Black Dragons","G O D A N","Fri Sep 02 2016 23:26:03 GMT+0000 (UTC)"
"Galleon","Primethunder","Fri Sep 02 2016 23:02:16 GMT+0000 (UTC)"
"Inertia","Kerupt","Fri Sep 02 2016 23:35:26 GMT+0000 (UTC)"
"FleX","Imaster",
"M-m-m-my KKona","HeFty","Fri Sep 02 2016 23:48:28 GMT+0000 (UTC)"
"One Shot","skibs","Fri Sep 02 2016 23:02:57 GMT+0000 (UTC)"
"Superposition","Klexic","Fri Sep 02 2016 23:45:40 GMT+0000 (UTC)"
"Black Dragons","Freedom","Fri Sep 02 2016 23:26:03 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Sep 02 2016 23:26:03 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Sep 02 2016 23:26:03 GMT+0000 (UTC)"
"Lief, Tyrus Up Sexay","GrandMaster Sexay","Fri Sep 02 2016 23:25:11 GMT+0000 (UTC)"
"Espionage RL","Dosma","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"vVv Gaming","Azazel","Fri Sep 02 2016 23:26:13 GMT+0000 (UTC)"
"Make 'em Pay","KiNG",
"vVv Gaming","Ecko","Fri Sep 02 2016 23:26:13 GMT+0000 (UTC)"
"NoX.LD","frotA | NOX.LD","Fri Sep 02 2016 23:36:42 GMT+0000 (UTC)"
"vVv Gaming","Alcapwn","Fri Sep 02 2016 23:26:13 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito",
"Hardcore Boostiality","Velum",
"Hardcore Boostiality","Dat Boi",
"Invictus","Haku",
"Make 'em Pay","C0M0D0",
"Muted","Corn Bread","Fri Sep 02 2016 23:24:44 GMT+0000 (UTC)"
"Invictos","[IVT] JoelRC14","Fri Sep 02 2016 23:13:32 GMT+0000 (UTC)"
"Invictos","[IVT] DRMS","Fri Sep 02 2016 23:13:32 GMT+0000 (UTC)"
"Invictos","[IVT] Kcin_Legend","Fri Sep 02 2016 23:13:32 GMT+0000 (UTC)"
"No Capes!","Araussi",
"Dark Matter","DM | BB","Fri Sep 02 2016 23:04:08 GMT+0000 (UTC)"
"Delirium","Sisco","Fri Sep 02 2016 23:00:28 GMT+0000 (UTC)"
"Espionage RL","Caudark","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"Espionage RL","Luink","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"FleX","choxic",
"Momentum","Watsupmijo_24","Fri Sep 02 2016 23:10:17 GMT+0000 (UTC)"
"Momentum","Timi_f","Fri Sep 02 2016 23:10:17 GMT+0000 (UTC)"
"HYPE Gaming","Munchkinator","Fri Sep 02 2016 23:43:14 GMT+0000 (UTC)"
"Momentum","Dappur","Fri Sep 02 2016 23:10:17 GMT+0000 (UTC)"
"Prime Example","HitTheJim","Fri Sep 02 2016 23:52:00 GMT+0000 (UTC)"
"Ironhype","Loomin | Twitch.tv/Ironhype","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"Ironhype","Attackerby","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"Ironhype","J.RAx","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Aegis","Fri Sep 02 2016 23:00:36 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Heist","Fri Sep 02 2016 23:00:36 GMT+0000 (UTC)"
"vVv Gaming","HadABradDay","Fri Sep 02 2016 23:26:13 GMT+0000 (UTC)"
"Bums of Beckwith Park","Satthew","Fri Sep 02 2016 23:05:39 GMT+0000 (UTC)"
"Identity Crisis","IC | Sona","Fri Sep 02 2016 23:16:57 GMT+0000 (UTC)"
"Deception","Bell",
"Deception","Fireworks",
"Identity Crisis","IC | E_M_E_T","Fri Sep 02 2016 23:16:57 GMT+0000 (UTC)"
"Voltage","Netflix?","Fri Sep 02 2016 23:22:08 GMT+0000 (UTC)"
"Dark Matter","DM | Bird","Fri Sep 02 2016 23:04:08 GMT+0000 (UTC)"
"Espionage RL","Ghent","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Ill","Fri Sep 02 2016 23:00:36 GMT+0000 (UTC)"
"Synergized","Schmaltz92","Fri Sep 02 2016 23:02:39 GMT+0000 (UTC)"
"Delirium","JO3_YOUN9","Fri Sep 02 2016 23:00:28 GMT+0000 (UTC)"
"Leviticus","Flinney McMillon","Fri Sep 02 2016 23:06:52 GMT+0000 (UTC)"
"Hardcore Boostiality","Bam Bam",
"Prodigy Red","Prodigy | Purg","Fri Sep 02 2016 23:06:04 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | JSpaZ","Fri Sep 02 2016 23:06:04 GMT+0000 (UTC)"
"Maximum Gains","H4iiRy_GaRRy","Fri Sep 02 2016 23:00:24 GMT+0000 (UTC)"
"Superposition","preamblee","Fri Sep 02 2016 23:45:40 GMT+0000 (UTC)"
"Mexican Space Program","Dragonslayer955","Fri Sep 02 2016 23:23:32 GMT+0000 (UTC)"
"Wings","Répi","Fri Sep 02 2016 23:39:33 GMT+0000 (UTC)"
"Wings","Ninja23509","Fri Sep 02 2016 23:39:33 GMT+0000 (UTC)"
"Wings","Diplex","Fri Sep 02 2016 23:39:33 GMT+0000 (UTC)"
"Bums of Beckwith Park","Sub'n","Fri Sep 02 2016 23:05:39 GMT+0000 (UTC)"
"Stage 1 Hypertension","InanimateJ","Fri Sep 02 2016 23:00:34 GMT+0000 (UTC)"
"Stage 1 Hypertension","Minamacky","Fri Sep 02 2016 23:00:34 GMT+0000 (UTC)"
"Stage 1 Hypertension","Turtlebear","Fri Sep 02 2016 23:00:34 GMT+0000 (UTC)"
"The Machos","Guará Vita","Fri Sep 02 2016 23:30:14 GMT+0000 (UTC)"
"One Shot","|OS| elyodah","Fri Sep 02 2016 23:02:57 GMT+0000 (UTC)"
"Literally","JWismont","Fri Sep 02 2016 23:24:03 GMT+0000 (UTC)"
"Superposition","Nomad","Fri Sep 02 2016 23:45:40 GMT+0000 (UTC)"
"Wings","Liberato","Fri Sep 02 2016 23:39:33 GMT+0000 (UTC)"
"Lief, Tyrus Up Sexay","Liefx","Fri Sep 02 2016 23:25:11 GMT+0000 (UTC)"
"AIR PLS","Vafele","Fri Sep 02 2016 23:26:54 GMT+0000 (UTC)"
"AIR PLS","AirRejectz-","Fri Sep 02 2016 23:26:54 GMT+0000 (UTC)"
"Team Summit","Genocop",
"Team Summit","Chrome",
"Make 'em Pay","jabroke",
"Empyreal eSports","phat man","Fri Sep 02 2016 23:40:09 GMT+0000 (UTC)"
"Empyreal eSports","Kri0s","Fri Sep 02 2016 23:40:09 GMT+0000 (UTC)"
"Empyreal eSports","Rocket Van Persie","Fri Sep 02 2016 23:40:09 GMT+0000 (UTC)"
"Empyreal eSports","Squire","Fri Sep 02 2016 23:40:09 GMT+0000 (UTC)"
"Empyreal eSports","Calik","Fri Sep 02 2016 23:40:09 GMT+0000 (UTC)"
"Mythic","Ohcoolstorybruh","Fri Sep 02 2016 23:53:22 GMT+0000 (UTC)"
"Galleon","Eveh","Fri Sep 02 2016 23:02:16 GMT+0000 (UTC)"
"Ironhype","ColemanA","Fri Sep 02 2016 23:11:29 GMT+0000 (UTC)"
"No Thanks","Edgecrusher","Fri Sep 02 2016 23:10:32 GMT+0000 (UTC)"
"Deception","Vince",
"Leviathans of Rocket Drifting","LoRD Sylanthus","Fri Sep 02 2016 23:33:42 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD mokio","Fri Sep 02 2016 23:33:42 GMT+0000 (UTC)"
"Delirium","maconex","Fri Sep 02 2016 23:00:28 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD HoraryHellfire","Fri Sep 02 2016 23:33:42 GMT+0000 (UTC)"
"M-m-m-my KKona","ENIGMA_PLEASE","Fri Sep 02 2016 23:48:28 GMT+0000 (UTC)"
"Prodigy Red","Prodigy | sumlol","Fri Sep 02 2016 23:06:04 GMT+0000 (UTC)"
"Inertia","Zednine","Fri Sep 02 2016 23:35:26 GMT+0000 (UTC)"
"Breakfast At 9","Outsid3_Shoot3r",
"Breakfast At 9","Achlys15",
"Voltage","Saltie","Fri Sep 02 2016 23:22:08 GMT+0000 (UTC)"
"Identity Crisis","IC | BIOS","Fri Sep 02 2016 23:16:57 GMT+0000 (UTC)"
"Breakfast At 9","Silver_Saviior",
"Synergized","cinamon22","Fri Sep 02 2016 23:02:39 GMT+0000 (UTC)"
"Synergized","cinamon22","Fri Sep 02 2016 23:02:39 GMT+0000 (UTC)"
"Synergized","beezycareezy","Fri Sep 02 2016 23:02:39 GMT+0000 (UTC)"
"Synergized","Mark__Jones","Fri Sep 02 2016 23:02:39 GMT+0000 (UTC)"
"October Sky","MythicPinkMist","Fri Sep 02 2016 23:25:23 GMT+0000 (UTC)"
"Classic Stanley","King Wizard","Fri Sep 02 2016 23:04:47 GMT+0000 (UTC)"
"M-m-m-my KKona","Fatality","Fri Sep 02 2016 23:48:28 GMT+0000 (UTC)"
"FleX","commanderander",
"Momentum","J_knaps","Fri Sep 02 2016 23:10:17 GMT+0000 (UTC)"
"Vendetta","SquishyMuffinz","Fri Sep 02 2016 23:23:29 GMT+0000 (UTC)"
"Invictos","[IVT] Sonia <2","Fri Sep 02 2016 23:13:32 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","TheArsenal1414","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","DeviousBoy8","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","vicdamoun_10","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","AlkaSulz5","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","SanguineAssasin7","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","Herp-Uhh-Derp","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","Killzonerare","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","TheLastAvenger5","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","BIGWHEEL","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Stage 1 Hypertension","Sneaux","Fri Sep 02 2016 23:00:34 GMT+0000 (UTC)"
"Classic Stanley","byrdman","Fri Sep 02 2016 23:04:47 GMT+0000 (UTC)"
"Classic Stanley","sir timbers","Fri Sep 02 2016 23:04:47 GMT+0000 (UTC)"
"Deception","CorruptedG",
"Mythic","Sigma","Fri Sep 02 2016 23:53:22 GMT+0000 (UTC)"
"October Sky","DietBroccoli","Fri Sep 02 2016 23:25:23 GMT+0000 (UTC)"
"October Sky","mdico91","Fri Sep 02 2016 23:25:23 GMT+0000 (UTC)"
"Make 'em Pay","Absilute",
"Hey guys","Values","Fri Sep 02 2016 23:19:41 GMT+0000 (UTC)"
"Galleon","Skyzz","Fri Sep 02 2016 23:02:16 GMT+0000 (UTC)"
"Mythic","Cheiffa","Fri Sep 02 2016 23:53:22 GMT+0000 (UTC)"
"Superposition","Pepper","Fri Sep 02 2016 23:45:40 GMT+0000 (UTC)"
"I'm not good with creativity [NAE]","8Poosniffer9","Fri Sep 02 2016 23:12:41 GMT+0000 (UTC)"
"I'm not good with creativity [NAE]","Tallgeese87","Fri Sep 02 2016 23:12:41 GMT+0000 (UTC)"
"Muted","Muted | UM4R3X","Fri Sep 02 2016 23:24:44 GMT+0000 (UTC)"
"Rocketo PAAAANCH!","Hydro-_-Ponic","Fri Sep 02 2016 23:09:59 GMT+0000 (UTC)"
"Muted","Bond_Brother","Fri Sep 02 2016 23:24:44 GMT+0000 (UTC)"
"Muted","VonJiggles","Fri Sep 02 2016 23:24:44 GMT+0000 (UTC)"
"Muted","jiffyjake","Fri Sep 02 2016 23:24:44 GMT+0000 (UTC)"
"Mythic","toohn45","Fri Sep 02 2016 23:53:22 GMT+0000 (UTC)"
"Skidrow","Samuray",
"Goal Security","Oshnatour","Fri Sep 02 2016 23:52:27 GMT+0000 (UTC)"
"No Thanks","Thundah","Fri Sep 02 2016 23:10:32 GMT+0000 (UTC)"
"Bums of Beckwith Park","sQuillis","Fri Sep 02 2016 23:05:39 GMT+0000 (UTC)"
"Lief, Tyrus Up Sexay","Tyrus","Fri Sep 02 2016 23:25:11 GMT+0000 (UTC)"
"Voltage","Marz","Fri Sep 02 2016 23:22:08 GMT+0000 (UTC)"
"M-m-m-my KKona","Knuggs","Fri Sep 02 2016 23:48:28 GMT+0000 (UTC)"
"Prodigy Red","Classy(LFBACH)","Fri Sep 02 2016 23:06:04 GMT+0000 (UTC)"
"We Play Games","Saint",
"We Play Games","Drayno",
"We Play Games","Dexnine",
"Hardcore Boostiality","greamer",
"No Thanks","Rilo","Fri Sep 02 2016 23:10:32 GMT+0000 (UTC)"
"No Thanks","Knives","Fri Sep 02 2016 23:10:32 GMT+0000 (UTC)"
"2 Be Determined","RAWGREGHxC","Fri Sep 02 2016 23:06:10 GMT+0000 (UTC)"
"Skidrow","Dingoubel",
"Skidrow","RodrigoSanni",
"TeamProdigy","Prodigy | Conceal","Fri Sep 02 2016 23:00:36 GMT+0000 (UTC)"
"Maximum Gains","cbolt3113","Fri Sep 02 2016 23:00:24 GMT+0000 (UTC)"
"Maximum Gains","Trap Lord","Fri Sep 02 2016 23:00:24 GMT+0000 (UTC)"
"Beyond Incorperation","[BIC]reineifersucht","Fri Sep 02 2016 23:01:39 GMT+0000 (UTC)"
"Team Summit","HWS",
"ARA","Reblotic","Fri Sep 02 2016 23:29:13 GMT+0000 (UTC)"
"Defiants","MrYisus92","Fri Sep 02 2016 23:00:42 GMT+0000 (UTC)"
"Defiants","theadrian1033","Fri Sep 02 2016 23:00:42 GMT+0000 (UTC)"
"M-m-m-my KKona","Kazoo","Fri Sep 02 2016 23:48:28 GMT+0000 (UTC)"
"Whiffs n' Waffles","Jordraino","Fri Sep 02 2016 23:03:58 GMT+0000 (UTC)"
"Whiffs n' Waffles","Mrs. Buttrworthh","Fri Sep 02 2016 23:03:58 GMT+0000 (UTC)"
"One Shot","|OS| Onyx","Fri Sep 02 2016 23:02:57 GMT+0000 (UTC)"
"To Be Determined","Mysterydude12",
"2 Be Determined","mysterydude12","Fri Sep 02 2016 23:06:10 GMT+0000 (UTC)"
"Whiffs n' Waffles","Demy the Demolitionist","Fri Sep 02 2016 23:03:58 GMT+0000 (UTC)"
"New Era","byHalcyon","Fri Sep 02 2016 23:19:20 GMT+0000 (UTC)"
"2 Be Determined","eirenman28","Fri Sep 02 2016 23:06:10 GMT+0000 (UTC)"
"AIR PLS","PreM","Fri Sep 02 2016 23:26:54 GMT+0000 (UTC)"
"GAF","Goalie","Fri Sep 02 2016 23:11:24 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","Jlorenzi5","Fri Sep 02 2016 23:33:42 GMT+0000 (UTC)"
"Pink Panthers","plague","Fri Sep 02 2016 23:19:18 GMT+0000 (UTC)"
"Mexican Space Program","Chillers","Fri Sep 02 2016 23:23:32 GMT+0000 (UTC)"
"Mexican Space Program","Flying Squirrel","Fri Sep 02 2016 23:23:32 GMT+0000 (UTC)"
"Pink Panthers","Carsillas","Fri Sep 02 2016 23:19:18 GMT+0000 (UTC)"
"Pink Panthers","malakiss","Fri Sep 02 2016 23:19:18 GMT+0000 (UTC)"
"Prime Example","Justice","Fri Sep 02 2016 23:52:00 GMT+0000 (UTC)"
"Inertia","weedwizard","Fri Sep 02 2016 23:35:26 GMT+0000 (UTC)"
"Prime Example","Dom","Fri Sep 02 2016 23:52:00 GMT+0000 (UTC)"
"Hey guys","Drakerake","Fri Sep 02 2016 23:19:41 GMT+0000 (UTC)"
